,Id,LotFrontage,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Fence,FireplaceQu,Fireplaces,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandSlope,LotArea,LowQualFinSF,MSSubClass,MasVnrArea,MasVnrType,MiscVal,MoSold,OpenPorchSF,OverallQual,PavedDrive,PoolArea,RoofMatl,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,TotalSF,BuiltAge,RemodelAge,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,CentralAir_N,CentralAir_Y,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_None,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,OverallCond_1,OverallCond_2,OverallCond_3,OverallCond_4,OverallCond_5,OverallCond_6,OverallCond_7,OverallCond_8,OverallCond_9,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD
10,11,6.72793834253,15.0659696131,0.0,0.0,3,4,3,14.5205235622,0.0,5,6,1.0,0.0,4,-0.970923595254,2,2,4,0.0,4,3,4,3,0,1,6,-0.41123262268,1,5,3,5,15.0659696131,0,1,0,2,1,3,0,27.2716643415,0.0,5,0.0,2,0.0,4,0.0,5,2,-0.0604474863867,0,0.0,1,5,-0.0227034452746,0.0,18.0475316678,5.65762756635,5.65762756635,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11,12,7.18623908994,15.5857622768,15.4446297725,0.0,4,4,3,14.9013758626,0.0,2,6,1.0,0.0,0,-0.873099608925,2,2,4,0.0,4,0,4,2,2,3,6,1.22709848835,3,5,0,5,18.5643028554,0,1,0,5,1,0,0,27.6784675267,0.0,10,10.5076640349,3,0.0,9,4.27800368129,9,2,-0.0604474863867,0,0.0,1,11,0.2904490322,8.58383342882,20.5731139157,0.743491774985,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
12,13,6.96049771741,14.5462819851,0.0,0.0,2,4,3,13.7318761076,0.0,0,6,1.0,0.0,4,-0.877649561777,2,2,4,0.0,4,3,4,3,0,1,6,-0.560171814592,1,5,3,5,14.5462819851,0,1,4,2,1,3,0,28.2316038758,0.0,5,0.0,2,0.0,11,0.0,5,2,-0.0604474863867,0,9.07876816961,1,4,-0.31961838688,8.45283534983,17.4503221923,5.79915005882,5.79915005882,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13,14,7.35172374519,16.5723889925,0.0,0.0,3,4,0,0.0,0.0,6,6,0.0,0.0,2,2.12304434445,2,2,4,0.0,4,2,4,2,1,2,6,1.71115086206,3,5,2,5,16.5723889925,0,1,0,2,1,2,0,26.9495238186,0.0,5,10.7180142956,3,0.0,10,5.1219872925,7,2,-0.0604474863867,0,0.0,1,7,1.03041673823,8.81450027981,19.7785099909,0.743491774985,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
14,15,7.2601058212,15.8271340183,0.0,0.0,2,4,3,13.7115263842,0.0,1,6,1.0,0.0,4,-0.0927826947212,2,2,4,9.07876816961,4,3,1,1,1,1,6,-0.560171814592,1,5,2,5,15.8271340183,1,1,4,2,1,3,0,27.1086825015,0.0,5,9.60985565119,1,0.0,7,9.62354813601,6,2,-0.0604474863867,0,0.0,1,5,0.47138157474,0.0,18.9221864593,5.88953212241,5.88953212241,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
15,16,6.01972287721,14.2913769559,0.0,0.0,2,4,3,0.0,0.0,6,6,0.0,0.0,4,0.617009950269,2,2,0,0.0,4,3,0,3,0,1,6,0.482402528791,2,5,3,5,14.2913769559,0,1,0,1,1,3,0,23.5979221933,0.0,8,0.0,2,0.0,9,7.87021177204,7,2,-0.0604474863867,0,0.0,1,5,-0.505190225383,5.88953212241,17.1000380213,6.98106495241,2.37886580797,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16,17,6.24923781778,14.9252241945,0.0,0.0,2,4,3,12.8445547908,0.0,0,6,1.0,0.0,4,-0.306630478789,2,2,4,0.0,4,3,4,5,1,1,6,0.0355849530556,2,5,0,5,14.9252241945,0,1,0,2,1,3,0,27.2952551852,0.0,5,9.14183348608,1,13.5401655574,5,0.0,6,2,-0.0604474863867,0,0.0,1,5,-0.106210772601,0.0,17.8857943817,5.50816239138,5.50816239138,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
17,18,6.7932790912,15.9680478758,0.0,0.0,2,2,4,0.0,0.0,4,4,0.0,0.0,3,-1.27577043637,2,2,4,0.0,4,3,4,3,0,2,6,0.203141543956,2,5,3,5,15.9680478758,0,1,4,2,2,3,0,27.0324673144,0.0,15,0.0,2,12.3355469888,1,0.0,4,2,-0.0604474863867,0,0.0,1,6,-2.43513734582,0.0,15.9680478758,5.45639552591,5.45639552591,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
18,19,6.59270981489,15.3434674233,0.0,0.0,3,4,3,13.2452937732,0.0,2,6,1.0,0.0,4,-0.211081468886,5,2,4,0.0,4,3,4,3,0,1,6,0.482402528791,2,5,3,5,15.3434674233,1,1,0,2,1,2,0,28.5960913761,0.0,5,0.0,2,0.0,8,7.6339004142,5,2,-0.0604474863867,0,0.0,1,6,0.148950505341,0.0,18.3664113578,1.89864830731,1.89864830731,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
19,20,6.72793834253,16.1052725051,0.0,0.0,3,4,3,12.3631405181,0.0,3,6,0.0,0.0,4,-0.0814078125899,2,2,4,0.0,4,3,2,3,0,1,2,-0.830124099932,1,5,3,5,16.1052725051,0,1,4,2,1,3,0,24.8322391542,0.0,5,0.0,2,0.0,7,0.0,5,2,-0.0604474863867,0,0.0,1,6,-0.0482195730688,0.0,18.6528248852,6.01972287721,5.70563684169,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,21,7.60927274066,15.5015497552,15.7095539719,0.0,4,4,0,0.0,0.0,6,6,0.0,0.0,0,1.35865226523,2,2,4,0.0,4,2,4,2,1,3,6,1.77165740878,3,5,2,5,18.6687782425,1,1,0,5,1,2,0,28.8474135202,0.0,10,11.4117540332,1,0.0,2,8.70996493321,8,2,-0.0604474863867,0,0.0,1,9,0.251015016518,9.9752269498,20.6240567776,0.743491774985,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
21,22,6.26303939216,15.3215258291,0.0,0.0,3,4,3,0.0,0.0,6,6,0.0,0.0,4,0.17338954715,2,2,1,9.51254062298,4,3,0,2,1,1,6,-0.895284996393,1,5,3,5,15.3215258291,0,1,0,1,1,2,0,24.7441292002,0.0,8,0.0,2,0.0,8,0.0,7,0,-0.0604474863867,0,0.0,1,6,-0.957521581735,0.0,17.2525021777,6.95057838676,6.26303939216,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
